epoch,model_id,train_loss,val_loss,recon,kl,class,contrastive,beta,lr
1,0,201.36982052160533,169.02025286177513,182.1426073629396,9.176217405112073,0.16078248016136476,2.432835922694796,0.05,0.001
2,0,175.24216258806766,201.889716779682,185.48980779542723,10.090970814919443,0.02096540797206359,2.046069404570723,0.1,0.001
3,0,180.1925648023715,166.0423618155466,170.52402056974887,9.710128472479429,0.015389549844407713,1.121534115091029,0.15,0.001
4,0,166.41731265894956,152.30492021802445,156.5172165507677,9.184947322292594,0.015196401624801268,0.9917140957227559,0.2,0.001
5,0,161.10132401111983,155.07147204976687,154.82668531817237,9.119372931533526,0.007917647215482965,0.9719516789969991,0.25,0.001
6,0,158.13312727360568,149.15231144864794,149.98103047713366,9.03354890251671,0.007918670604475014,0.9437056990171928,0.3,0.001
7,0,155.9306995034578,147.04205385664818,147.44452813456383,8.851183494945916,0.006577633644698768,0.9373567986389935,0.35,0.001
8,0,153.9601490262772,143.96237585578166,144.44914536831413,8.97283011058012,0.00656464808398407,0.9164200432135406,0.4,0.001
9,0,152.96030708151642,142.86434459417637,142.97154938176888,8.918859989434818,0.00480969763575848,0.9224798508910066,0.45,0.001
10,0,151.35765238874268,143.5405898403114,142.1767176194108,8.718931955427045,0.00507786553973642,0.9078594542036391,0.5,0.001
11,0,151.00035774714996,144.91401542341205,142.1206781511748,8.793771897181617,0.005557033470599141,0.994376988091457,0.55,0.001
12,0,149.86268933345184,141.08317171553492,139.33400724889935,8.638313855421217,0.004102008747242883,0.9518328685176347,0.6,0.001
13,0,149.78004270709172,143.03929318710112,140.00700472482777,8.39078841026598,0.004197739717627435,0.9444531777302898,0.65,0.001
14,0,149.07028043349345,139.8432511772908,137.5368471756199,8.536624065414752,0.004512534584846778,0.9397694387339179,0.7,0.001
15,0,147.9181280775733,143.01909441880778,138.23180009496093,8.351949343368464,0.0037381060613930974,0.9691110449605057,0.75,0.001
16,0,147.67228687666693,141.48409580714267,136.9536178722944,8.302087831327771,0.003491971006043692,0.9794112888662202,0.8,0.001
17,0,147.81633629928544,141.20036364273287,136.57669704953923,8.17763314037129,0.0036368974291818307,0.977027485685614,0.85,0.001
18,0,148.31692391940115,139.2594304151938,135.42392180806286,8.191263966178708,0.003609271558682284,0.9885086923956865,0.9,0.001
19,0,148.56937705786206,143.05875783571057,137.0741789099257,8.163322129577663,0.0029752072715258327,0.9817573438565339,0.95,0.001
20,0,147.62351313933866,143.01365700305348,136.2870541699952,8.04327853502281,0.004098623719693441,0.9841538099625086,1.0,0.001
21,0,146.17702050338698,138.33545538673937,133.0427389447382,8.183148548710697,0.003274867807032198,1.0270756639796041,1.0,0.001
22,0,147.30480382175963,142.46307538529516,135.80867037288806,8.058019614222708,0.0027559895592778856,1.0144937627185207,1.0,0.001
23,0,146.81271665175515,140.7608329665493,134.71302595327248,8.030480208745292,0.0032003397798986825,1.0400685706254924,1.0,0.001
24,0,151.47766667391957,148.99438351913238,141.10165232660052,8.083372248967583,0.004282953170173322,1.0467175639189028,1.0,0.001
25,0,149.81473995796503,141.66608260248748,136.49844347007183,8.209009460620507,0.004739321184734075,1.028219503514549,1.0,0.001
26,0,146.45934551965073,137.7082815573249,132.89234392528033,8.131937250662478,0.004464434808372722,1.0550677846480743,1.0,0.001
27,0,146.66001682339117,140.588354621135,134.19704338064963,8.36006303909743,0.003693868870038977,1.0633854695035723,1.0,0.001
28,0,146.28246328117623,139.79165192724955,133.84701766669104,8.135517603990591,0.0036456585269550716,1.0508768171104976,1.0,0.001
29,0,145.87598478657242,140.5607233289262,134.11488353959257,8.06892016879711,0.0034630057977185383,1.031086841437909,1.0,0.001
30,0,146.45722778873503,139.25129946856433,133.5613483130772,8.234307418101483,0.004389198060324906,1.0542183630497202,1.0,0.001
31,0,146.52508372050397,142.0173708311269,135.04245653819197,8.206421376444382,0.004171913263867995,1.0181776108324443,1.0,0.001
32,0,149.2386616133491,139.40103578164545,135.07273627970605,8.250896796612661,0.004357884826034993,0.9918577698190275,1.0,0.001
33,0,150.7700444662319,160.65807065292142,146.4028115113407,8.188315298664719,0.004889176674310994,1.1180415875037668,1.0,0.001
34,0,168.74513235409094,156.250224540603,152.74783392274315,8.459691583430036,0.008482320387428764,1.2816707565632939,1.0,0.001
35,0,164.2703683997209,154.17724039856816,149.65801438961853,8.438250568632238,0.005541248373644089,1.1219981532508547,1.0,0.001
36,0,163.71576040216084,158.06319629508005,151.13518341396883,8.49325703707184,0.006610824772081234,1.254427105309603,1.0,0.001
37,0,164.98351803690286,154.19811606608647,150.12808939508213,8.35555590415558,0.0045556296106616006,1.1026163568858527,1.0,0.0005
38,0,159.0948927496135,151.43531512408188,145.80370347834736,8.404886712342556,0.0032889033077505604,1.053224765453601,1.0,0.0005
39,0,157.053334985831,149.6430508465834,143.8581180270918,8.4877697710453,0.0051926779273995345,0.99711260491483,1.0,0.0005
40,0,155.89601702733341,150.34588414581728,143.6634209261281,8.456357573557952,0.0038928151036014495,0.9972791666307579,1.0,0.0005
41,0,155.32468243279126,147.9208204135089,142.20556982365127,8.428461599122727,0.0030857220828202463,0.9856346193367986,1.0,0.0005
